"amber","amber"
"amethyst","amethyst"
"apricot","apricot"
"aquamarine","aquamarine"
"azure","azure"
"beige","beige"
"black","black"
"blue","blue"
"bronze","bronze"
"brown","brown"
"burgundy","burgundy"
"cerulean","cerulean"
"champagne","champagne"
"chocolate","chocolate"
"coffee","coffee"
"copper","copper"
"coral","coral"
"crimson","crimson"
"cyan","cyan"
"emerald","emerald"
"erin","erin"
"gold","gold"
"gray","gray"
"green","green"
"harlequin","harlequin"
"indigo","indigo"
"ivory","ivory"
"jade","jade"
"lavender","lavender"
"lemon","lemon"
"lilac","lilac"
"lime","lime"
"magenta","magenta"
"maroon","maroon"
"mauve","mauve"
"navy","navy"
"ocher","ocher"
"olive","olive"
"orange","orange"
"orchid","orchid"
"peach","peach"
"pear","pear"
"persian","persian"
"pink","pink"
"plum","plum"
"puce","puce"
"purple","purple"
"raspberry","raspberry"
"red","red"
"rose","rose"
"ruby","ruby"
"salmon","salmon"
"sapphire","sapphire"
"scarlet","scarlet"
"silver","silver"
"slate","slate"
"tan","tan"
"taupe","taupe"
"teal","teal"
"turquoise","turquoise"
"violet","violet"
"viridian","viridian"
"white","white"
"yellow","yellow"
